StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
2011/08/10 09:46:53.058760,20.360267999999998,tcp,147.32.3.93,443,  <?>,147.32.84.59,51790,FPA_FRPA,0.0,0.0,133,81929,67597,flow=Background-Established-cmpgw-CVUT
2011/08/10 09:46:53.062095,3118.470947,udp,24.117.206.20,8697,  <->,147.32.84.229,13363,CON,0.0,0.0,13,4328,840,flow=Background-UDP-Established
2011/08/10 09:46:53.068389,1065.003052,tcp,94.208.78.74,50687,  <?>,147.32.84.229,13363,FPA_RPA,0.0,0.0,156,14804,7699,flow=Background
2011/08/10 09:46:53.074655,2.210671,udp,79.129.201.26,56877,  <->,147.32.84.229,13363,CON,0.0,0.0,4,379,137,flow=Background-UDP-Established
2011/08/10 09:46:53.075905,0.187434,tcp,147.32.86.194,2065,   ->,217.163.21.35,80,FSPA_FSPA,0.0,0.0,11,3872,1147,flow=Background-TCP-Established
2011/08/10 09:46:53.078297,3599.9724119999996,tcp,147.32.80.13,80,  <?>,147.32.84.162,51769,PA_A,0.0,0.0,72157,61638544,60214264,flow=From-Background-CVUT-Proxy
2011/08/10 09:46:53.082381,0.000307,tcp,74.200.246.228,80,  <?>,147.32.84.59,49382,FA_RA,0.0,0.0,3,180,60,flow=Background-Established-cmpgw-CVUT
2011/08/10 09:46:53.087248,0.000258,tcp,77.238.167.32,80,  <?>,147.32.86.194,2060,FA_A,0.0,0.0,2,120,60,flow=Background
2011/08/10 09:46:53.093292,37.925823,tcp,94.124.104.196,80,  <?>,147.32.84.59,49500,PA_FRA,0.0,0.0,1921,2636496,2625276,flow=Background-Established-cmpgw-CVUT
2011/08/10 09:46:53.098713,0.31208800000000003,tcp,98.127.111.126,51534,  <?>,147.32.84.229,13363,FRPA_FPA,0.0,0.0,10,750,407,flow=Background
2011/08/10 09:46:53.100496,2407.466797,udp,123.1.72.4,16562,  <->,147.32.84.229,13363,CON,0.0,0.0,4,268,148,flow=Background-UDP-Established
2011/08/10 09:46:53.104932,3495.29541,tcp,147.32.84.229,443,  <?>,212.217.56.83,58258,PA_PA,0.0,0.0,287,24672,10309,flow=Background
2011/08/10 09:46:53.104948,3591.9189450000003,tcp,147.32.84.229,443,  <?>,213.142.200.29,10004,PA_PA,0.0,0.0,4360,339588,125248,flow=Background
2011/08/10 09:46:53.104954,3514.610352,tcp,147.32.84.229,13363,  <?>,93.45.94.195,44977,PA_PA,0.0,0.0,310,52117,9301,flow=Background
2011/08/10 09:46:53.104959,3599.977539,tcp,147.32.84.229,13363,  <?>,83.78.136.90,52573,PA_PA,0.0,0.0,164,12065,5378,flow=Background
2011/08/10 09:46:53.106431,507.347626,tcp,147.32.80.13,80,  <?>,147.32.85.112,10885,FPA_FA,0.0,0.0,162760,137136528,132816366,flow=From-Background-CVUT-Proxy
2011/08/10 09:46:53.107352,0.001105,udp,217.164.10.229,7797,  <->,147.32.84.229,13363,CON,0.0,0.0,2,582,77,flow=Background-UDP-Established
2011/08/10 09:46:53.107669,0.0,tcp,199.59.148.20,443,   ?>,147.32.84.184,51855,A_,0.0,,1,60,60,flow=Background
